日本語表現,アラビア数字,備考
一,1,
十,10,
百,100,
千,"1,000",
万,"10,000",日本語は4桁ごとに区切る
十万,"100,000",
百万,"1,000,000",
一億,"100,000,000",
一兆,"1,000,000,000,000",
〇（零）,0,
壱,1,いち
弐,2,に
参,3,さん
拾,10,じゅう
廿,20,にじゅう（「廿」とも書く）
一つ（ひとつ）,1,物を数える基本
二つ（ふたつ）,2,
三つ（みっつ）,3,
四つ（よっつ）,4,
五つ（いつつ）,5,
六つ（むっつ）,6,
七つ（ななつ）,7,
八つ（やっつ）,8,
九つ（ここのつ）,9,
十（とお）,10,
第一,1,順序
二番目,2,順序
一日（ついたち）,1,日付
二日（ふつか）,2,日付
三日（みっか）,3,日付
十四日（じゅうよっか）,14,日付
二十日（はつか）,20,日付
一昨日（おととい）,-2,今日を0とした場合
明後日（あさって）,+2,今日を0とした場合
一昨年（おととし）,-2,今年を0とした場合
四半世紀,25,年数（100年の1/4）
一回忌,1,没後（満1年）
一割,10% (0.1),割（わり）
一分,1% (0.01),分（ぶ）
一厘,0.1% (0.001),厘（りん）
五分五分,50% / 50%,五分（ごぶ）は半分
半分,1/2 (0.5),
四半,1/4 (0.25),しはん
八分目,80% (0.8),腹八分目など
単身,1,一人
コンビ・対,2,二人、一対
唯一無二,1,代わりがないこと
四六時中,24,4×6＝24時間（一日中）
三羽ガラス,3,優れた3人組
八百万（やおよろず）,"8,000,000",無数、極めて多いこと
億劫（おっくう）,"100,000,000+",非常に長い時間（仏教用語）
