japanese,arabic
一万五千,(15000)
弐拾弐,(22)
伍千億,(500000000000)
七千三百四十,(7340)
漆百捌拾玖,(789)
百一,(101)
四十八,(48)
三万八千,(38000)
肆百億,(40000000000)
弐仟弐百,(2200)
伍拾陸,(56)
百兆,(100000000000000)
八万一千,(81000)
参百,(300)
三十五,(35)
弐百参拾肆,(234)
三千五百万,(35000000)
九千万,(90000000)
兆,(1000000000000)
五百七十万,(5700000)
参拾肆,(34)
拾億,(1000000000)
十兆,(10000000000000)
七百八十九,(789)
壱百,(100)
壱百壱拾,(110)
一万二千,(12000)
三百六十五,(365)
二百五十,(250)
肆,(4)
玖拾玖,(99)
億,(100000000)
一,(1)
捌百捌拾億,(88000000000)
五万五千五百,(55500)
参百肆拾伍,(345)
八十八,(88)
四千五百六十七,(4567)
玖千九百億,(990000000000)
伍仟陸百漆拾捌,(5678)
百二十五万,(1250000)
千二百,(1200)
拾兆,(10000000000000)
弐拾億,(2000000000)
〇,(0)
九千九百九,(9909)
十,(10)
十億,(1000000000)
二百四十四,(244)
六万七千,(67000)
漆百参拾万,(7300000)
八千二百一,(8201)
伍,(5)
捌千九拾万,(80900000)
七百八十四,(784)
玖拾,(90)
二千五百六十,(2560)
参拾万伍仟,(305000)
伍仟,(5000)
二,(2)
六十六,(66)
六百七十二,(672)
壱億壱千万,(110000000)
玖,(9)
漆,(7)
十万,(100000)
一億五千万,(150000000)
伍兆,(5000000000000)
肆百,(400)
四万二千百,(42100)
壱千万漆千,(10007000)
四百六十二,(462)
八百十六,(816)
捌,(8)
参,(3)
八千六百五十二,(8652)
六,(6)
弐百伍拾億,(25000000000)
百億,(10000000000)
弐億四千万,(240000000)
十一,(11)
七十七,(77)
漆百,(700)
百万,(1000000)
一千億,(100000000000)
弐仟,(2000)
壱千億,(100000000000)
五千九百九十九,(5999)
三兆五千億,(3500000000000)
肆百伍拾陸,(456)
一億二千万,(120000000)
百,(100)
九,(9)
弐拾壱,(21)
百壱拾万,(1100000)
拾万,(100000)
壱仟,(1000)
捌拾捌,(88)
陸拾漆,(67)
一千万,(10000000)
四百九十八,(498)
千六百三,(1603)
六千八百万,(68000000)
玖百壱拾,(910)
四,(4)
参仟,(3000)
百三十五,(135)
九十九,(99)
伍百陸拾漆,(567)
二千二十六,(2026)
壱仟弐百参拾肆,(1234)
参拾伍億,(3500000000)
五千五,(5005)
六万八千九百,(68900)
一千二百万,(12000000)
伍百,(500)
捌拾玖,(89)
肆万七百,(40700)
五,(5)
佰,(100)
九百九十九万,(9990000)
二千八百七十,(2870)
七十二万,(720000)
二十五万,(250000)
九百三十三,(933)
八百万,(8000000)
壱拾壱,(11)
七,(7)
万,(10000)
弐万伍千,(25000)
弐百伍拾万,(2500000)
壱万弐仟,(12000)
弐百,(200)
壱百弐拾,(120)
八,(8)
参千伍百万,(35000000)
伍億六千七百万,(567000000)
陸百漆拾捌,(678)
拾万弐千,(102000)
肆百八十万,(4800000)
陸拾陸,(66)
漆拾捌,(78)
三百五十万,(3500000)
参仟参百,(3300)
壱億,(100000000)
壱,(1)
九十万九千,(909000)
三億,(300000000)
九万九千九百,(99900)
参千二百億,(320000000000)
五百億,(50000000000)
八千八百八十八,(8888)
五百一,(501)
肆拾伍,(45)
二十二,(22)
弐兆伍千億,(2500000000000)
捌百,(800)
壱仟壱百,(1100)
伍拾伍,(55)
九百五十一,(951)
一兆,(1000000000000)
八十九万,(890000)
五十六万,(560000)
五十九,(59)
陸百,(600)
捌百玖拾,(890)
参拾参,(33)
三千八百,(3800)
伍拾捌万,(580000)
伍拾兆,(50000000000000)
千,(1000)
二万三千四百,(23400)
四千九百,(4900)
拾,(10)
参拾万,(300000)
八千億,(800000000000)
百兆,(100000000000000)
千十,(1010)
肆拾肆,(44)
壱兆,(1000000000000)
百二十一,(121)
六千百十一,(6111)
陸,(6)
十二万,(120000)
玖拾玖億,(9900000000)
漆拾漆,(77)
壱千兆,(1000000000000000)
漆拾億,(7000000000)
三,(3)
玖百,(900)
萬,(10000)
五千五百,(5500)
四十八万,(480000)
陸千四百万,(64000000)
弐,(2)
仟,(1000)
七万八千九百,(78900)
三百五十七,(357)
七拾二万参千,(723000)
壱万参仟,(13000)
