japanese,pds2
一万五千,( 1e4 5e3 )
弐拾弐,( 2e1 2e0 )
伍千億,( 5e11 )
七千三百四十,( 7e3 3e2 4e1 )
漆百捌拾玖,( 7e2 8e1 9e0 )
百一,( 1e2 1e0 )
四十八,( 4e1 8e0 )
三万八千,( 3e4 8e3 )
肆百億,( 4e10 )
弐仟弐百,( 2e3 2e2 )
伍拾陸,( 5e1 6e0 )
百兆,( 1e14 )
八万一千,( 8e4 1e3 )
参百,( 3e2 )
三十五,( 3e1 5e0 )
弐百参拾肆,( 2e2 3e1 4e0 )
三千五百万,( 3e7 5e6 )
九千万,( 9e7 )
兆,( 1e12 )
五百七十万,( 5e6 7e5 )
参拾肆,( 3e1 4e0 )
拾億,( 1e9 )
十兆,( 1e13 )
七百八十九,( 7e2 8e1 9e0 )
壱百,( 1e2 )
壱百壱拾,( 1e2 1e1 )
一万二千,( 1e4 2e3 )
三百六十五,( 3e2 6e1 5e0 )
二百五十,( 2e2 5e1 )
肆,( 4e0 )
玖拾玖,( 9e1 9e0 )
億,( 1e8 )
一,( 1e0 )
捌百捌拾億,( 8e10 8e9 )
五万五千五百,( 5e4 5e3 5e2 )
参百肆拾伍,( 3e2 4e1 5e0 )
八十八,( 8e1 8e0 )
四千五百六十七,( 4e3 5e2 6e1 7e0 )
玖千九百億,( 9e11 9e10 )
伍仟陸百漆拾捌,( 5e3 6e2 7e1 8e0 )
百二十五万,( 1e6 2e5 5e4 )
千二百,( 1e3 2e2 )
拾兆,( 1e13 )
弐拾億,( 2e9 )
〇,( )
九千九百九,( 9e3 9e2 9e0 )
十,( 1e1 )
十億,( 1e9 )
二百四十四,( 2e2 4e1 4e0 )
六万七千,( 6e4 7e3 )
漆百参拾万,( 7e6 3e5 )
八千二百一,( 8e3 2e2 1e0 )
伍,( 5e0 )
捌千九拾万,( 8e7 9e5 )
七百八十四,( 7e2 8e1 4e0 )
玖拾,( 9e1 )
二千五百六十,( 2e3 5e2 6e1 )
参拾万伍仟,( 3e5 5e3 )
伍仟,( 5e3 )
二,( 2e0 )
六十六,( 6e1 6e0 )
六百七十二,( 6e2 7e1 2e0 )
壱億壱千万,( 1e8 1e7 )
玖,( 9e0 )
漆,( 7e0 )
十万,( 1e5 )
一億五千万,( 1e8 5e7 )
伍兆,( 5e12 )
肆百,( 4e2 )
四万二千百,( 4e4 2e3 1e2 )
壱千万漆千,( 1e7 7e3 )
四百六十二,( 4e2 6e1 2e0 )
八百十六,( 8e2 1e1 6e0 )
捌,( 8e0 )
参,( 3e0 )
八千六百五十二,( 8e3 6e2 5e1 2e0 )
六,( 6e0 )
弐百伍拾億,( 2e10 5e9 )
百億,( 1e10 )
弐億四千万,( 2e8 4e7 )
十一,( 1e1 1e0 )
七十七,( 7e1 7e0 )
漆百,( 7e2 )
百万,( 1e6 )
一千億,( 1e11 )
弐仟,( 2e3 )
壱千億,( 1e11 )
五千九百九十九,( 5e3 9e2 9e1 9e0 )
三兆五千億,( 3e12 5e11 )
肆百伍拾陸,( 4e2 5e1 6e0 )
一億二千万,( 1e8 2e7 )
百,( 1e2 )
九,( 9e0 )
弐拾壱,( 2e1 1e0 )
百壱拾万,( 1e6 1e5 )
拾万,( 1e5 )
壱仟,( 1e3 )
捌拾捌,( 8e1 8e0 )
陸拾漆,( 6e1 7e0 )
一千万,( 1e7 )
四百九十八,( 4e2 9e1 8e0 )
千六百三,( 1e3 6e2 3e0 )
六千八百万,( 6e7 8e6 )
玖百壱拾,( 9e2 1e1 )
四,( 4e0 )
参仟,( 3e3 )
百三十五,( 1e2 3e1 5e0 )
九十九,( 9e1 9e0 )
伍百陸拾漆,( 5e2 6e1 7e0 )
二千二十六,( 2e3 2e1 6e0 )
壱仟弐百参拾肆,( 1e3 2e2 3e1 4e0 )
参拾伍億,( 3e9 5e8 )
五千五,( 5e3 5e0 )
六万八千九百,( 6e4 8e3 9e2 )
一千二百万,( 1e7 2e6 )
伍百,( 5e2 )
捌拾玖,( 8e1 9e0 )
肆万七百,( 4e4 7e2 )
五,( 5e0 )
佰,( 1e2 )
九百九十九万,( 9e6 9e5 9e4 )
二千八百七十,( 2e3 8e2 7e1 )
七十二万,( 7e5 2e4 )
二十五万,( 2e5 5e4 )
九百三十三,( 9e2 3e1 3e0 )
八百万,( 8e6 )
壱拾壱,( 1e1 1e0 )
七,( 7e0 )
万,( 1e4 )
弐万伍千,( 2e4 5e3 )
弐百伍拾万,( 2e6 5e5 )
壱万弐仟,( 1e4 2e3 )
弐百,( 2e2 )
壱百弐拾,( 1e2 2e1 )
八,( 8e0 )
参千伍百万,( 3e7 5e6 )
伍億六千七百万,( 5e8 6e7 7e6 )
陸百漆拾捌,( 6e2 7e1 8e0 )
拾万弐千,( 1e5 2e3 )
肆百八十万,( 4e6 8e5 )
陸拾陸,( 6e1 6e0 )
漆拾捌,( 7e1 8e0 )
三百五十万,( 3e6 5e5 )
参仟参百,( 3e3 3e2 )
壱億,( 1e8 )
壱,( 1e0 )
九十万九千,( 9e5 9e3 )
三億,( 3e8 )
九万九千九百,( 9e4 9e3 9e2 )
参千二百億,( 3e11 2e10 )
五百億,( 5e10 )
八千八百八十八,( 8e3 8e2 8e1 8e0 )
五百一,( 5e2 1e0 )
肆拾伍,( 4e1 5e0 )
二十二,( 2e1 2e0 )
弐兆伍千億,( 2e12 5e11 )
捌百,( 8e2 )
壱仟壱百,( 1e3 1e2 )
伍拾伍,( 5e1 5e0 )
九百五十一,( 9e2 5e1 1e0 )
一兆,( 1e12 )
八十九万,( 8e5 9e4 )
五十六万,( 5e5 6e4 )
五十九,( 5e1 9e0 )
陸百,( 6e2 )
捌百玖拾,( 8e2 9e1 )
参拾参,( 3e1 3e0 )
三千八百,( 3e3 8e2 )
伍拾捌万,( 5e5 8e4 )
伍拾兆,( 5e13 )
千,( 1e3 )
二万三千四百,( 2e4 3e3 4e2 )
四千九百,( 4e3 9e2 )
拾,( 1e1 )
参拾万,( 3e5 )
八千億,( 8e11 )
百兆,( 1e14 )
千十,( 1e3 1e1 )
肆拾肆,( 4e1 4e0 )
壱兆,( 1e12 )
百二十一,( 1e2 2e1 1e0 )
六千百十一,( 6e3 1e2 1e1 1e0 )
陸,( 6e0 )
十二万,( 1e5 2e4 )
玖拾玖億,( 9e9 9e8 )
漆拾漆,( 7e1 7e0 )
壱千兆,( 1e15 )
漆拾億,( 7e9 )
三,( 3e0 )
玖百,( 9e2 )
萬,( 1e4 )
五千五百,( 5e3 5e2 )
四十八万,( 4e5 8e4 )
陸千四百万,( 6e7 4e6 )
弐,( 2e0 )
仟,( 1e3 )
七万八千九百,( 7e4 8e3 9e2 )
三百五十七,( 3e2 5e1 7e0 )
七拾二万参千,( 7e5 2e4 3e3 )
壱万参仟,( 1e4 3e3 )
